,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
1048,"Single family residence, residential",Built in 1956,"Gas, forced air",Central air,2 Garage spaces,0.87 Acres,$145 price/sqft,3% buyers agency fee,31028396
1049,"Single family residence, residential",Built in 1966,"Gas, zoned, baseboard, hot water",No data,2.5 Garage spaces,0.63 Acres,$134 price/sqft,3% buyers agency fee,30908937
1050,"Single family residence, residential",Built in 2000,Fireplace insert,Central air,3 Attached garage spaces,1.39 Acres,$211 price/sqft,2.50% buyers agency fee,32458943
1051,Single family residence,Built in 1860,"Forced air, oil",No data,Attached garage,0.47 Acres,$23 price/sqft,,29996560
1052,Single family residence,Built in 1900,"Natural gas, baseboard",None,"Private, no garage",0.28 Acres,,,59647208
1053,"Single family residence, residential",Built in 2006,"Forced air, natural gas",Central air,2 Attached garage spaces,0.29 Acres,$213 price/sqft,2.50% buyers agency fee,70917850
1054,Single family residence,Built in 2018,"Natural gas, forced air, radiant, energy star qualified equipment",Energy star qualified equipment,2 Attached garage spaces,0.30 Acres,$613 price/sqft,,31076587
1055,"Single family residence, residential",Built in 1827,"Gas, forced air",No data,No garage,0.28 Acres,$90 price/sqft,3% buyers agency fee,30035720
1056,"Single family residence, residential",Built in 1923,"Gas, steam",No data,No garage,"3,023 sqft",$108 price/sqft,3% buyers agency fee,30182315
1057,Single family residence,Built in 1950,"Oil, hot water",None,"Private, no garage","6,098 sqft",,,59444898
1058,Singlefamily,Built in 1940,"Baseboard, forced air, electric, gas",No data,No data,"10,258 sqft",$88 price/sqft,,30522725
1059,"Single family residence, residential",Built in 1985,"Baseboard, oil",None,1 Garage space,2.33 Acres,$191 price/sqft,2.50% buyers agency fee,55730470
1060,"Single family residence, residential",Built in 2011,"Forced air, natural gas",Central air,2 Garage spaces,0.48 Acres,$302 price/sqft,2.50% buyers agency fee,32458160
1061,"Single family residence, residential",Built in 1900,"Gas, forced air",No data,No garage,0.28 Acres,$46 price/sqft,$1500 buyers agency fee,30816445
1062,Single family residence,Built in 1896,"Heat pump, electric",Heat pump,2 Garage spaces,4.04 Acres,$462 price/sqft,2% buyers agency fee,150850795
1063,"Single family residence, residential",Built in 1901,"Gas, zoned, baseboard",Central air,"Attached, electricity, storage, workshop in garage, driveway, garage door opener",1.62 Acres,$186 price/sqft,2.75% buyers agency fee,30360572
1064,Single family - attached,Built in 1999,"Forced air, natural gas",Central air,Open parking,"1,036 sqft",$113 price/sqft,,2128461623
1065,"Single family residence, residential",Built in 1950,"Forced air, natural gas","Central air, wall unit(s)",10 Garage spaces,1 Acres,$119 price/sqft,2.50% buyers agency fee,61828309
1066,Residential,,No data,No data,No data,4.48 Acres,$195 price/sqft,2.5% buyers agency fee,32791238
1067,"Single family residence, residential",Built in 1952,"Hot water, natural gas",Wall unit(s),1 Attached garage space,"6,534 sqft",$208 price/sqft,2.50% buyers agency fee,29652395
1068,Single family residence,Built in 2022,"Forced air, propane","Ceiling fan(s), central air",2 Attached garage spaces,7.30 Acres,$223 price/sqft,2% buyers agency fee,101985960
1069,Singlefamily,Built in 1915,No data,No data,No data,"2,000 sqft",$464 price/sqft,,30751024
1070,"Single family residence, residential",Built in 1920,"Gas, forced air",Central air,2 Garage spaces,"6,625 sqft",$163 price/sqft,3% buyers agency fee,30266734
1071,"Single family residence, residential",Built in 1976,"Gas, baseboard",No data,4 Garage spaces,5.90 Acres,$176 price/sqft,3% buyers agency fee,30352106
1072,Singlefamily,Built in 1888,"Baseboard, stove, oil",No data,1 Parking space,8 Acres,$83 price/sqft,,29997152
1073,Single family residence,Built in 1970,"Natural gas, steam",Central air,"Private, driveway","3,840 sqft",,,32059192
1074,"Single family residence, residential",Built in 1900,"Gas, none",Central air,1 Garage space,0.25 Acres,$70 price/sqft,2% buyers agency fee,31747521
1075,"Single family residence, residential",Built in 2012,Forced air,Central air,4 Attached garage spaces,2.74 Acres,$143 price/sqft,2.50% buyers agency fee,32249993
1076,Single family residence,Built in 1932,"Natural gas, forced air",Central air,1 Attached garage space,"7,662 sqft",$338 price/sqft,,31861846
1077,Condominium,Built in 1966,"Natural gas, forced air",Wall unit(s),"Assigned, waitlist",,,,2060676235
1078,Single family residence,Built in 1954,Forced air,No data,1 Attached garage space,"6,969 sqft",$110 price/sqft,,29763698
1079,"Single family residence, residential",Built in 1957,"Gas, forced air",No data,1.5 Garage spaces,"6,534 sqft",$178 price/sqft,3% buyers agency fee,30293063
1080,Single family residence,Built in 1978,Electric,None,"Private, driveway, no garage",0.50 Acres,$297 price/sqft,,59500620
1081,Multi family,Built in 1927,"Natural gas, hot water",None,2 Garage spaces,,$357 price/sqft,,142441519
1082,Single family residence,Built in 1967,"Natural gas, baseboard",Central air,1 Attached garage space,"4,000 sqft",$486 price/sqft,,31234935
1083,"Single family residence, residential",Built in 1969,Forced air,Central air,2 Garage spaces,0.87 Acres,$172 price/sqft,2.50% buyers agency fee,29705611
1084,Condominium,Built in 1979,Electric,Central air,1 Garage space,,,,2075142597
1085,Cooperative,Built in 1937,No data,No data,No data,,$457 price/sqft,,2060674858
1086,"Single family residence, residential",Built in 1880,"Gas, zoned, baseboard, radiant floor","Attic fan, wall unit(s)",2.5 Garage spaces,0.53 Acres,$176 price/sqft,3% buyers agency fee,2061667925
1087,Single family residence,Built in 1915,"Hot water, radiators, propane",Window unit(s),3 Open parking spaces,1 Acres,$403 price/sqft,2.5% buyers agency fee,32867237
1088,"Single family residence, residential",Built in 2010,"Propane, forced air",No data,"Detached, garage door opener",6.51 Acres,$417 price/sqft,3% buyers agency fee,98094437
1089,"Single family residence, residential",Built in 2010,"Gas, forced air",Central air,2 Garage spaces,0.39 Acres,$134 price/sqft,3% buyers agency fee,60560375
1090,Single family residence,Built in 1920,"Forced air, oil","Ceiling fan(s), central air",1 Garage space,0.50 Acres,$231 price/sqft,2% buyers agency fee,32870168
1091,"Single family residence, residential",Built in 1920,"Gas, forced air",Central air,2 Garage spaces,"7,840 sqft",$128 price/sqft,3% buyers agency fee,31659282
1092,Single family residence,Built in 2007,"Natural gas, forced air",Central air,2 Attached garage spaces,0.34 Acres,"$1,450 price/sqft",,32717472
1093,Single family residence,Built in 1963,"Oil, baseboard",Ductless,"Private, driveway, storage",0.25 Acres,,,59551893
1094,Singlefamily,Built in 1960,No data,No data,Garage - attached,"1,792 sqft",$388 price/sqft,,30787395
1095,Single family residence,Built in 1920,"Baseboard, oil","Wall unit(s), window unit(s)",2 Garage spaces,4.50 Acres,$143 price/sqft,2% buyers agency fee,31837602
1096,"Single family residence, residential",Built in 1880,"Gas, other, see remarks","Other, see remarks",No garage,"4,809 sqft",$57 price/sqft,2% buyers agency fee,30340905
1097,"Single family residence, residential",Built in 1836,"Propane, forced air",No data,"No garage, driveway",0.53 Acres,$105 price/sqft,3% buyers agency fee,61973735
1098,Single family residence,Built in 1983,"Natural gas, solar, baseboard, hot water, radiant",Central air,4 Attached garage spaces,1.84 Acres,$272 price/sqft,,53395137
1099,"Deeded, single family residence",Built in 1890,"Radiator, hot water",No data,No data,0.25 Acres,$195 price/sqft,2.5% buyers agency fee,215416089
1100,Single family residence,Built in 2022,"Natural gas, energy star qualified equipment, hot water, hydro air","Central air, , energy star qualified equipment",4 Attached garage spaces,2.01 Acres,$590 price/sqft,,59551236
1101,Single family residence,Built in 1962,"Natural gas, forced air",Central air,"Private, driveway",0.35 Acres,,,59477297
1102,"Single family residence, residential",Built in 1890,"Gas, forced air",No data,No garage,"6,534 sqft",$70 price/sqft,3% buyers agency fee,31558278
1103,"Single family residence, residential",Built in 1948,"Gas, forced air",Central air,1 Garage space,"5,227 sqft",$123 price/sqft,3% buyers agency fee,30400927
1104,Apartment,Built in 1963,"Hot water, natural gas",Units,Open parking,,$267 price/sqft,,244597458
1105,"Single family residence, residential",Built in 1930,"Wood, baseboard, oil",Window unit(s),4 Open parking spaces,"6,534 sqft",$236 price/sqft,2.25% buyers agency fee,32927999
1106,"Single family residence, residential",Built in 1945,"Forced air, natural gas",None,1 Garage space,"4,791 sqft",$92 price/sqft,2.50% buyers agency fee,32473088
1107,Single family residence,Built in 1956,"Natural gas, baseboard",Central air,1 Attached garage space,"7,000 sqft",$329 price/sqft,,31347636
1108,"Single family residence, residential",Built in 1973,"Gas, forced air",Central air,1 Garage space,"8,542 sqft",$115 price/sqft,3% buyers agency fee,31708701
1109,"Single family residence, residential",Built in 1880,"Propane, forced air",None,3 Garage spaces,3 Acres,$212 price/sqft,2.50% buyers agency fee,32889132
1110,"Single family residence, residential",Built in 1948,"Oil, forced air",No data,1 Garage space,"7,866 sqft",$183 price/sqft,3% buyers agency fee,31599673
1111,"Single family residence, residential",Built in 1990,"Wood stove, baseboard, oil",None,10 Open parking spaces,87 Acres,$172 price/sqft,2.50% buyers agency fee,32428817
1112,Multi family,Built in 1970,"Natural gas, forced air",Central air,Attached garage,,$397 price/sqft,,32304595
1113,Single family residence,Built in 1962,"Natural gas, baseboard",Window unit(s),1 Attached garage space,0.40 Acres,$200 price/sqft,,31848822
1114,"Single family residence, residential",Built in 1910,Forced air,Window unit(s),1 Attached garage space,"7,405 sqft",$45 price/sqft,2.50% buyers agency fee,32268242
1115,Singlefamily,Built in 1900,"Forced air, gas",Wall,5 Parking spaces,"7,919 sqft",$163 price/sqft,,31797502
1116,Single family residence,Built in 1955,"Oil, hydro air",Energy star qualified equipment,"Private, driveway","9,148 sqft",,,59358890
1117,Single family residence,Built in 1984,"Oil, baseboard",Central air,2 Attached garage spaces,4.90 Acres,$197 price/sqft,,31847499
1118,Single family residence,Built in 1991,"Oil, baseboard",None,"Private, driveway","7,841 sqft",$364 price/sqft,,32739375
1119,Single family residence,Built in 1945,"Natural gas, hot water",Wall unit(s),1 Attached garage space,"2,697 sqft",$726 price/sqft,,2060665738
1120,Single family residence,Built in 1935,"Oil, hot water",Ductless,2 Garage spaces,0.55 Acres,$222 price/sqft,,31910588
1121,"Single family residence, residential",Built in 1959,"Gas, forced air",Central air,2.5 Garage spaces,0.85 Acres,$173 price/sqft,3% buyers agency fee,31485481
1122,Single family residence,Built in 2007,"Propane, forced air",Central air,3 Attached garage spaces,0.93 Acres,$304 price/sqft,,72094731
1123,"Single family residence, residential",Built in 1900,Natural gas,None,4 Parking spaces,"5,227 sqft",$147 price/sqft,2.25% buyers agency fee,32463973
1124,Single family - detached,Built in 1931,"Hot water, natural gas",Units,1 Garage space,"4,000 sqft",$528 price/sqft,,32336812
1125,Single family residence,Built in 1960,"Baseboard, oil",Ceiling fan(s),2 Garage spaces,0.46 Acres,$158 price/sqft,2.5% buyers agency fee,32843437
1126,"Townhouse, residential",Built in 1987,"Forced air, natural gas",Central air,2 Attached garage spaces,"6,969 sqft",$177 price/sqft,2.50% buyers agency fee,32932567
1127,"Single family residence, residential",Built in 1900,"Gas, forced air",No data,1 Garage space,"4,726 sqft",$74 price/sqft,3% buyers agency fee,30475427
1128,Single family residence,Built in 1961,"Natural gas, hot water, steam",Central air,1 Attached garage space,"8,834 sqft",$807 price/sqft,,32973309
1129,Single family residence,Built in 1955,"Electric, oil, hot water, steam",None,Driveway,0.31 Acres,$140 price/sqft,,31842976
1130,"Single family residence, residential",Built in 1974,"Forced air, natural gas",Central air,2 Attached garage spaces,0.41 Acres,$172 price/sqft,2.50% buyers agency fee,32411399
1131,Single family - attached,Built in 1996,"Forced air, natural gas",Central air,"No garage, off street","1,530 sqft",$429 price/sqft,,32359691
1132,"Single family residence, residential",Built in 1992,"Gas, forced air, hot water, wall furnace",Central air,2 Garage spaces,3.59 Acres,$84 price/sqft,3% buyers agency fee,53754481
1133,"Deeded, single family residence",Built in 1795,Radiator,No data,1 Attached garage space,29.20 Acres,$79 price/sqft,2.5% buyers agency fee,29717686
1134,Singlefamily,Built in 1900,Oil,Central,1 Parking space,2.60 Acres,$347 price/sqft,,2060678565
1135,"Single family residence, residential",Built in 1967,"Gas, forced air, hot water",Attic fan,1 Garage space,0.33 Acres,$115 price/sqft,3% buyers agency fee,30963682
1136,"Single family residence, residential",Built in 1914,"Gas, forced air",No data,1 Garage space,"4,133 sqft",$42 price/sqft,3% buyers agency fee,30860007
1137,Multi family,Built in 1945,"Natural gas, baseboard",Window unit(s),1 Attached garage space,,$744 price/sqft,,31943637
1138,Single family residence,Built in 1930,"Oil, hot water",None,1 Garage space,"3,000 sqft",$520 price/sqft,,2060703170
1139,Single family residence,Built in 1951,"Oil, hot water",Wall unit(s),2 Garage spaces,"10,290 sqft",,,31238391
1140,"Single family residence, residential",Built in 1900,"Gas, forced air",No data,1 Garage space,"3,240 sqft",$50 price/sqft,3% buyers agency fee,30865385
1141,Single family residence,Built in 1984,"Natural gas, forced air",Central air,3 Attached garage spaces,1.35 Acres,,,59549978
1142,Cooperative,Built in 1905,No data,No data,No data,,,,245066787
1143,"Duplex, multi family",Built in 1820,Natural gas,No data,1 Garage space,,$41 price/sqft,3.00% buyers agency fee,53174922
1144,"Single family residence, residential",Built in 1921,"Electric, baseboard",No data,2 Garage spaces,"3,916 sqft",$148 price/sqft,2.5% buyers agency fee,30224442
1145,Single family residence,Built in 1998,Central,Central air,2 Garage spaces,"8,276 sqft",$214 price/sqft,2.5% buyers agency fee,19005650
